
2024-05-06 15:20:56
Mon May  6 15:21:03 2024,0,20439,46214
Mon May  6 15:21:05 2024,0,20424,45860
Mon May  6 15:21:06 2024,0,20446,46214
Mon May  6 15:21:08 2024,0,20473,45911
Mon May  6 15:21:09 2024,0,20507,46419
Mon May  6 15:21:10 2024,0,20538,47149
Mon May  6 15:21:12 2024,0,20536,47822
Mon May  6 15:21:13 2024,0,20552,48854
Mon May  6 15:21:15 2024,0,20541,49227
Mon May  6 15:21:16 2024,0,20537,49783
Mon May  6 15:21:17 2024,0,20562,50201
Mon May  6 15:21:19 2024,0,20553,50565
Mon May  6 15:21:20 2024,0,20572,50111
Mon May  6 15:21:22 2024,0,20578,49842
Mon May  6 15:21:23 2024,0,20603,49872
Mon May  6 15:21:25 2024,0,20599,49227
Mon May  6 15:21:26 2024,0,20588,48854
Mon May  6 15:21:27 2024,0,20543,48318
Mon May  6 15:21:29 2024,0,20505,47416
Mon May  6 15:21:30 2024,0,20489,47044
Mon May  6 15:21:32 2024,0,20464,46730
Mon May  6 15:21:33 2024,0,20435,46886
Mon May  6 15:21:34 2024,0,20431,46886
Mon May  6 15:21:36 2024,0,20412,46164
Mon May  6 15:21:37 2024,0,20396,46062
Mon May  6 15:21:39 2024,0,20370,45611
Mon May  6 15:21:40 2024,0,20342,45760
Mon May  6 15:21:42 2024,0,20331,45810
Mon May  6 15:21:43 2024,0,20338,45120
Mon May  6 15:21:44 2024,0,20358,45512
Mon May  6 15:21:46 2024,0,20398,46834
Mon May  6 15:21:47 2024,0,20463,46886
Mon May  6 15:21:49 2024,0,20548,48096
Mon May  6 15:21:50 2024,0,20600,48968
Mon May  6 15:21:51 2024,0,20677,49314
Mon May  6 15:21:53 2024,0,20744,50141
Mon May  6 15:21:54 2024,0,20783,50903
Mon May  6 15:21:56 2024,0,20809,51784
Mon May  6 15:21:57 2024,0,20821,52041
Mon May  6 15:21:59 2024,0,20831,52730
Mon May  6 15:22:00 2024,0,20845,52531
Mon May  6 15:22:01 2024,0,20857,52663
Mon May  6 15:22:03 2024,0,20866,53402
Mon May  6 15:22:04 2024,0,20884,53198
Mon May  6 15:22:06 2024,0,20890,53573
Mon May  6 15:22:07 2024,0,20891,53402
Mon May  6 15:22:08 2024,0,20912,53470
Mon May  6 15:22:10 2024,0,20893,53539
Mon May  6 15:22:11 2024,0,20897,53848
Mon May  6 15:22:13 2024,0,20909,54092
Mon May  6 15:22:14 2024,0,20911,54550
Mon May  6 15:22:16 2024,0,20915,54373
Mon May  6 15:22:17 2024,0,20941,54373
Mon May  6 15:22:18 2024,0,20923,53641
